Venus
 2004-Jun-08 04:00      76.93144  22.76539
 2004-Jun-08 04:15      76.92461  22.76234
 2004-Jun-08 04:30      76.91779  22.75930
 2004-Jun-08 04:45      76.91097  22.75626
 2004-Jun-08 05:00      76.90414  22.75321
 2004-Jun-08 05:15      76.89732  22.75017
 2004-Jun-08 05:30      76.89050  22.74712
 2004-Jun-08 05:45      76.88367  22.74408
 2004-Jun-08 06:00      76.87685  22.74103
 2004-Jun-08 06:15      76.87003  22.73799
 2004-Jun-08 06:30      76.86320  22.73494
 2004-Jun-08 06:45      76.85638  22.73190
 2004-Jun-08 07:00      76.84956  22.72885
 2004-Jun-08 07:15      76.84274  22.72580
 2004-Jun-08 07:30      76.83592  22.72276
 2004-Jun-08 07:45      76.82910  22.71971
 2004-Jun-08 08:00      76.82228  22.71666
 2004-Jun-08 08:15      76.81546  22.71361
 2004-Jun-08 08:30      76.80864  22.71057
 2004-Jun-08 08:45      76.80182  22.70752
 2004-Jun-08 09:00      76.79500  22.70447
 2004-Jun-08 09:15      76.78818  22.70142
 2004-Jun-08 09:30      76.78136  22.69837
 2004-Jun-08 09:45      76.77454  22.69532
 2004-Jun-08 10:00      76.76772  22.69227
 2004-Jun-08 10:15      76.76090  22.68922
 2004-Jun-08 10:30      76.75409  22.68617
 2004-Jun-08 10:45      76.74727  22.68312
 2004-Jun-08 11:00      76.74045  22.68007
 2004-Jun-08 11:15      76.73364  22.67702
 2004-Jun-08 11:30      76.72682  22.67397
 2004-Jun-08 11:45      76.72000  22.67092
 2004-Jun-08 12:00      76.71319  22.66787
 2004-Jun-08 12:15      76.70637  22.66482
 2004-Jun-08 12:30      76.69956  22.66177
 2004-Jun-08 12:45      76.69274  22.65872
 2004-Jun-08 13:00      76.68593  22.65566
 2004-Jun-08 13:15      76.67912  22.65261
 2004-Jun-08 13:30      76.67230  22.64956
 2004-Jun-08 13:45      76.66549  22.64651
 2004-Jun-08 14:00      76.65868  22.64345
 2004-Jun-08 14:15      76.65187  22.64040
 2004-Jun-08 14:30      76.64505  22.63735
 2004-Jun-08 14:45      76.63824  22.63429
 2004-Jun-08 15:00      76.63143  22.63124
 2004-Jun-08 15:15      76.62462  22.62818
 2004-Jun-08 15:30      76.61781  22.62513
 2004-Jun-08 15:45      76.61100  22.62208
 2004-Jun-08 16:00      76.60419  22.61902
